composition,total energy (eV/atom),formation energy (eV/atom),decomposition energy (eV/atom),decomposition reaction,AO mixing energy (eV/atom),stddev bonds (Angstroms),chempot overlap (eV)
MgCaMnFe,-7.49278,-2.36406,0.0912,0.29(Mn(FeO2)2) + 0.17(MnO) + 0.25(MgO) + 0.25(CaO) + 0.04(Fe),0.063512,0.077365,0.3357
MgCaMnCo,-7.255661,-2.297154,0.110954,0.44(CaMn2O4) + 0.25(MgO) + 0.12(CaO) + 0.06(Co) + 0.12(CoO),0.068209,0.081522,0.0912
MgCaMnNi,-7.086905,-2.29442,0.109048,0.33(Mg3NiO4) + 0.44(CaMn2O4) + 0.12(CaO) + 0.06(Ni) + 0.04(NiO),0.064689,0.081212,-0.0414
MgCaMnCu,-6.820014,-2.237646,0.132284,0.17(CaCu3O4) + 0.44(CaMn2O4) + 0.25(MgO) + 0.08(CaO) + 0.06(Cu),0.061508,0.204863,-0.6399
MgCaMnZn,-6.663042,-2.435606,0.096779,0.25(MnO) + 0.25(MgO) + 0.25(CaO) + 0.25(ZnO),0.076054,0.093686,1.1042
MgCaFeCo,-7.038693,-2.166685,0.138821,0.56(Ca2Fe2O5) + 0.25(MgO) + 0.06(Co) + 0.12(CoO),0.075835,0.089007,-0.0585
MgCaFeNi,-6.865265,-2.15928,0.141586,0.56(Ca2Fe2O5) + 0.33(Mg3NiO4) + 0.06(Ni) + 0.04(NiO),0.076986,0.08912,-0.1911
MgCaFeCu,-6.610452,-2.114583,0.15122,0.56(Ca2Fe2O5) + 0.25(MgO) + 0.19(Cu2O),0.061727,0.203133,-0.7896
MgCaFeZn,-6.447968,-2.307032,0.100929,0.25(ZnO) + 0.25(MgO) + 0.25(CaO) + 0.25(FeO),0.081786,0.103325,0.3357
MgCaCoNi,-6.617118,-2.081345,0.137774,0.33(Mg3NiO4) + 0.25(CoO) + 0.25(CaO) + 0.17(NiO),0.092711,0.088456,1.0348
MgCaCoCu,-6.353222,-2.027566,0.128123,0.33(CaCu3O4) + 0.25(CoO) + 0.25(MgO) + 0.17(CaO),0.086535,0.196096,0.4363
MgCaCoZn,-6.209001,-2.238278,0.120398,0.25(ZnO) + 0.25(MgO) + 0.25(CaO) + 0.25(CoO),0.08833,0.098791,1.1674
MgCaNiCu,-6.169251,-2.009618,0.133144,0.33(Mg3NiO4) + 0.33(CaCu3O4) + 0.17(CaO) + 0.17(NiO),0.098229,0.165856,1.4432
MgCaNiZn,-6.038114,-2.233413,0.112336,0.33(Mg3NiO4) + 0.25(ZnO) + 0.25(CaO) + 0.17(NiO),0.086941,0.094905,2.4175
MgCaCuZn,-5.750292,-2.155708,0.12661,0.33(CaCu3O4) + 0.25(ZnO) + 0.25(MgO) + 0.17(CaO),0.104691,0.21136,1.4432
MgMnFeCo,-7.611692,-1.845132,0.12947,0.44(Mn(FeO2)2) + 0.12(MnO) + 0.25(MgO) + 0.06(Co) + 0.12(CoO),0.057336,0.035894,-0.0585
MgMnFeNi,-7.443884,-1.843347,0.127477,0.33(Mg3NiO4) + 0.44(Mn(FeO2)2) + 0.15(Mn3O4) + 0.08(Ni),0.052867,0.04211,-0.1911
MgMnFeCu,-7.179071,-1.78865,0.162934,0.44(Mn(FeO2)2) + 0.25(MnCuO2) + 0.25(MgO) + 0.06(Cu),0.047609,0.135029,-0.7896
MgMnFeZn,-7.013901,-1.978413,0.098067,0.29(Mn(FeO2)2) + 0.17(MnO) + 0.25(ZnO) + 0.25(MgO) + 0.04(Fe),0.070353,0.041647,0.3357
MgMnCoNi,-7.204468,-1.774144,0.114999,0.33(Mg3NiO4) + 0.25(CoO) + 0.29(Mn3O4) + 0.04(Ni) + 0.08(NiO),0.05986,0.036274,-0.0414
MgMnCoCu,-6.937366,-1.717158,0.137152,0.50(MnCuO2) + 0.25(CoO) + 0.25(MgO),0.05689,0.127994,-0.6399
MgMnCoZn,-6.780259,-1.914984,0.111992,0.25(MnO) + 0.25(ZnO) + 0.25(MgO) + 0.25(CoO),0.071572,0.036672,0.0912
MgMnNiCu,-6.768918,-1.714732,0.126651,0.33(Mg3NiO4) + 0.50(MnCuO2) + 0.17(NiO),0.053062,0.114864,-0.6399
MgMnNiZn,-6.618239,-1.918986,0.096787,0.33(Mg3NiO4) + 0.25(ZnO) + 0.29(Mn3O4) + 0.04(Ni) + 0.08(NiO),0.061316,0.039261,-0.0414
MgMnCuZn,-6.334013,-1.844877,0.136063,0.50(MnCuO2) + 0.25(ZnO) + 0.25(MgO),0.075469,0.137396,-0.6399
MgFeCoNi,-6.984331,-1.640506,0.141096,0.25(Mg3NiO4) + 0.22(Mg(FeO2)2) + 0.22(Fe2NiO4) + 0.25(CoO) + 0.06(Ni),0.070655,0.025557,-0.1911
MgFeCoCu,-6.72227,-1.588562,0.15723,0.44(Mg(FeO2)2) + 0.25(CoO) + 0.19(Cu2O) + 0.12(MgO),0.062644,0.119099,-0.7896
MgFeCoZn,-6.56722,-1.788444,0.12368,0.44(Mg(FeO2)2) + 0.25(ZnO) + 0.12(MgO) + 0.06(Co) + 0.12(CoO),0.075269,0.024311,-0.0585
MgFeNiCu,-6.552853,-1.585167,0.151017,0.19(Cu2O) + 0.33(Mg3NiO4) + 0.44(Fe2NiO4) + 0.04(NiO),0.059785,0.107468,-0.7896
MgFeNiZn,-6.402639,-1.789885,0.118346,0.25(Mg3NiO4) + 0.22(Mg(FeO2)2) + 0.22(Fe2NiO4) + 0.25(ZnO) + 0.06(Ni),0.067573,0.026674,-0.1911
MgFeCuZn,-6.127126,-1.724489,0.147932,0.44(Mg(FeO2)2) + 0.25(ZnO) + 0.19(Cu2O) + 0.12(MgO),0.073015,0.126843,-0.7896
MgCoNiCu,-6.302989,-1.505516,0.122798,0.33(Mg3NiO4) + 0.25(CoO) + 0.25(CuO) + 0.17(NiO),0.077226,0.098879,0.4363
MgCoNiZn,-6.159111,-1.716571,0.123768,0.33(Mg3NiO4) + 0.25(CoO) + 0.25(ZnO) + 0.17(NiO),0.078678,0.020309,1.0348
MgCoCuZn,-5.875127,-1.642703,0.126672,0.37(Zn5Co19O32) + 0.18(ZnO) + 0.16(Cu2O) + 0.25(MgO) + 0.04(CuO),0.092591,0.115742,0.4363
MgNiCuZn,-5.698725,-1.632324,0.122619,0.33(Mg3NiO4) + 0.25(CuO) + 0.25(ZnO) + 0.17(NiO),0.096716,0.10241,1.4432
CaMnFeCo,-7.739266,-1.922041,0.117119,0.34(Ca2Fe2O5) + 0.18(Mn(FeO2)2) + 0.35(CaMn2O4) + 0.11(Co) + 0.02(CoO),0.055934,0.078929,-0.0585
CaMnFeNi,-7.562676,-1.911474,0.126029,0.34(Ca2Fe2O5) + 0.35(CaMn2O4) + 0.18(Mn(FeO2)2) + 0.11(Ni) + 0.02(NiO),0.060248,0.081875,-0.1911
CaMnFeCu,-7.314977,-1.873891,0.157441,0.32(Ca2Fe2O5) + 0.13(Mn(FeO2)2) + 0.38(CaMn2O4) + 0.07(FeCuO2) + 0.11(Cu),0.037875,0.219398,-0.7896
CaMnFeZn,-7.137093,-2.05094,0.088693,0.29(Mn(FeO2)2) + 0.17(MnO) + 0.25(ZnO) + 0.25(CaO) + 0.04(Fe),0.073333,0.096807,0.3357
CaMnCoNi,-7.32155,-1.840561,0.117004,0.44(CaMn2O4) + 0.25(CoO) + 0.12(CaO) + 0.06(Ni) + 0.12(NiO),0.068951,0.084473,-0.0414
CaMnCoCu,-7.071284,-1.800411,0.128368,0.21(CoO) + 0.14(CaCu3O4) + 0.38(CaMn2O4) + 0.20(Ca3MnCoO6) + 0.07(Cu),0.049145,0.22133,-0.6399
CaMnCoZn,-6.89926,-1.98332,0.109161,0.44(CaMn2O4) + 0.25(ZnO) + 0.12(CaO) + 0.06(Co) + 0.12(CoO),0.078743,0.096044,0.0912
CaMnNiCu,-6.8906,-1.785749,0.12535,0.17(CaCu3O4) + 0.44(CaMn2O4) + 0.08(CaO) + 0.06(Cu) + 0.25(NiO),0.057553,0.200255,-0.6399
CaMnNiZn,-6.727747,-1.977829,0.106365,0.44(CaMn2O4) + 0.25(ZnO) + 0.12(CaO) + 0.06(Ni) + 0.12(NiO),0.07798,0.094157,-0.0414
CaMnCuZn,-6.464313,-1.924512,0.129791,0.17(CaCu3O4) + 0.44(CaMn2O4) + 0.25(ZnO) + 0.08(CaO) + 0.06(Cu),0.071342,0.264652,-0.6399
CaFeCoNi,-7.097916,-1.703426,0.151537,0.56(Ca2Fe2O5) + 0.25(CoO) + 0.06(Ni) + 0.12(NiO),0.083243,0.091962,-0.1911
CaFeCoCu,-6.853373,-1.668999,0.154548,0.56(Ca2Fe2O5) + 0.25(CoO) + 0.19(Cu2O),0.057714,0.21381,-0.7896
CaFeCoZn,-6.68166,-1.852219,0.13766,0.56(Ca2Fe2O5) + 0.25(ZnO) + 0.06(Co) + 0.12(CoO),0.087001,0.101698,-0.0585
CaFeNiCu,-6.671688,-1.653337,0.153636,0.56(Ca2Fe2O5) + 0.19(Cu2O) + 0.25(NiO),0.067122,0.19504,-0.7896
CaFeNiZn,-6.506283,-1.842865,0.138727,0.56(Ca2Fe2O5) + 0.25(ZnO) + 0.06(Ni) + 0.12(NiO),0.090101,0.104194,-0.1911
CaFeCuZn,-6.253064,-1.799762,0.150414,0.56(Ca2Fe2O5) + 0.25(ZnO) + 0.19(Cu2O),0.073249,0.258598,-0.7896
CaCoNiCu,-6.419608,-1.57147,0.125389,0.33(CaCu3O4) + 0.25(CoO) + 0.17(CaO) + 0.25(NiO),0.08678,0.188484,0.4363
CaCoNiZn,-6.259775,-1.766569,0.133277,0.25(CoO) + 0.25(ZnO) + 0.25(CaO) + 0.25(NiO),0.104187,0.100355,1.0348
CaCoCuZn,-5.997296,-1.714207,0.125855,0.33(CaCu3O4) + 0.25(CoO) + 0.25(ZnO) + 0.17(CaO),0.096594,0.245988,0.4363
CaNiCuZn,-5.807943,-1.690876,0.132612,0.33(CaCu3O4) + 0.25(ZnO) + 0.17(CaO) + 0.25(NiO),0.113671,0.212049,1.4432
MnFeCoNi,-7.676823,-1.387781,0.137141,0.15(Mn3O4) + 0.44(Mn(FeO2)2) + 0.25(CoO) + 0.08(Ni) + 0.08(NiO),0.058836,0.035668,-0.1911
MnFeCoCu,-7.418242,-1.339316,0.170012,0.25(MnCuO2) + 0.44(Mn(FeO2)2) + 0.25(CoO) + 0.06(Cu),0.047345,0.139101,-0.7896
MnFeCoZn,-7.245649,-1.521656,0.13732,0.44(Mn(FeO2)2) + 0.25(ZnO) + 0.12(MnO) + 0.06(Co) + 0.12(CoO),0.077512,0.029779,-0.0585
MnFeNiCu,-7.247817,-1.334914,0.15784,0.44(Mn(FeO2)2) + 0.25(MnCuO2) + 0.06(Cu) + 0.25(NiO),0.045493,0.134762,-0.7896
MnFeNiZn,-7.075201,-1.517231,0.13432,0.44(Mn(FeO2)2) + 0.15(Mn3O4) + 0.25(ZnO) + 0.08(Ni) + 0.08(NiO),0.075683,0.03896,-0.1911
MnFeCuZn,-6.807678,-1.459824,0.176134,0.44(Mn(FeO2)2) + 0.25(MnCuO2) + 0.25(ZnO) + 0.06(Cu),0.073135,0.157463,-0.7896
MnCoNiCu,-7.010924,-1.268234,0.127247,0.50(MnCuO2) + 0.25(CoO) + 0.25(NiO),0.049964,0.126371,-0.6399
MnCoNiZn,-6.839278,-1.451521,0.118349,0.29(Mn3O4) + 0.25(CoO) + 0.25(ZnO) + 0.04(Ni) + 0.17(NiO),0.079183,0.036144,-0.0414
MnCoCuZn,-6.568884,-1.391244,0.14744,0.50(MnCuO2) + 0.25(CoO) + 0.25(ZnO),0.079506,0.148557,-0.6399
MnNiCuZn,-6.396969,-1.385351,0.136759,0.50(MnCuO2) + 0.25(ZnO) + 0.25(NiO),0.079145,0.135676,-0.6399
FeCoNiCu,-6.789289,-1.133098,0.157183,0.44(Fe2NiO4) + 0.19(Cu2O) + 0.25(CoO) + 0.13(NiO),0.062256,0.117773,-0.7896
FeCoNiZn,-6.619481,-1.318223,0.146678,0.25(CoO) + 0.44(Fe2NiO4) + 0.25(ZnO) + 0.06(Ni),0.089639,0.024758,-0.1911
FeCoCuZn,-6.352353,-1.261211,0.168164,0.50(FeCuO2) + 0.25(CoO) + 0.25(ZnO),0.086695,0.134969,-0.7896
FeNiCuZn,-6.179927,-1.254808,0.162103,0.19(Cu2O) + 0.44(Fe2NiO4) + 0.25(ZnO) + 0.12(NiO),0.086845,0.125444,-0.7896
CoNiCuZn,-5.934764,-1.179858,0.130687,0.16(Cu2O) + 0.37(Zn5Co19O32) + 0.04(CuO) + 0.18(ZnO) + 0.25(NiO),0.099584,0.116333,0.4363
MgCaMnFeCo,-7.427264,-2.11866,0.123348,0.27(Ca2Fe2O5) + 0.14(Mn(FeO2)2) + 0.28(CaMn2O4) + 0.20(MgO) + 0.09(Co) + 0.02(CoO),0.064519,0.077053,-0.0585
MgCaMnFeNi,-7.289176,-2.11339,0.128168,0.27(Ca2Fe2O5) + 0.08(Mg3NiO4) + 0.28(CaMn2O4) + 0.14(Mn(FeO2)2) + 0.14(MgO) + 0.09(Ni),0.064786,0.078295,-0.1911
MgCaMnFeCu,-7.085294,-2.077602,0.158688,0.22(Ca2Fe2O5) + 0.18(Mg(FeO2)2) + 0.35(CaMn2O4) + 0.15(MgO) + 0.10(Cu),0.052611,0.178156,-0.7896
MgCaMnFeZn,-6.949525,-2.225778,0.096609,0.23(Mn(FeO2)2) + 0.13(MnO) + 0.20(ZnO) + 0.20(MgO) + 0.20(CaO) + 0.03(Fe),0.07444,0.083404,0.3357
MgCaMnCoNi,-7.0955,-2.055885,0.123765,0.27(Mg3NiO4) + 0.35(CaMn2O4) + 0.20(CoO) + 0.10(CaO) + 0.05(Ni) + 0.03(NiO),0.072524,0.079192,-0.0414
MgCaMnCoCu,-6.888061,-2.016539,0.137165,0.11(CaCu3O4) + 0.30(CaMn2O4) + 0.17(CoO) + 0.16(Ca3MnCoO6) + 0.20(MgO) + 0.06(Cu),0.063906,0.176895,-0.6399
MgCaMnCoZn,-6.761069,-2.173493,0.111173,0.35(CaMn2O4) + 0.20(ZnO) + 0.20(MgO) + 0.10(CaO) + 0.05(Co) + 0.10(CoO),0.076957,0.084258,0.0912
MgCaMnNiCu,-6.747659,-2.008955,0.133523,0.27(Mg3NiO4) + 0.13(CaCu3O4) + 0.35(CaMn2O4) + 0.07(CaO) + 0.05(Cu) + 0.13(NiO),0.066486,0.161389,-0.6399
MgCaMnNiZn,-6.627296,-2.172538,0.108416,0.27(Mg3NiO4) + 0.35(CaMn2O4) + 0.20(ZnO) + 0.10(CaO) + 0.05(Ni) + 0.03(NiO),0.072909,0.082646,-0.0414
MgCaMnCuZn,-6.408222,-2.121557,0.132566,0.13(CaCu3O4) + 0.35(CaMn2O4) + 0.20(ZnO) + 0.20(MgO) + 0.07(CaO) + 0.05(Cu),0.075926,0.198009,-0.6399
MgCaFeCoNi,-6.91898,-1.948564,0.149004,0.27(Mg3NiO4) + 0.45(Ca2Fe2O5) + 0.20(CoO) + 0.05(Ni) + 0.03(NiO),0.08157,0.083329,-0.1911
MgCaFeCoCu,-6.717345,-1.915022,0.154496,0.45(Ca2Fe2O5) + 0.20(CoO) + 0.20(MgO) + 0.15(Cu2O),0.067148,0.174359,-0.7896
MgCaFeCoZn,-6.589177,-2.0708,0.131784,0.45(Ca2Fe2O5) + 0.20(ZnO) + 0.20(MgO) + 0.05(Co) + 0.10(CoO),0.081375,0.088263,-0.0585
MgCaFeNiCu,-6.575518,-1.906013,0.153164,0.27(Mg3NiO4) + 0.15(Cu2O) + 0.45(Ca2Fe2O5) + 0.13(NiO),0.071154,0.158713,-0.7896
MgCaFeNiZn,-6.452968,-2.067409,0.131463,0.27(Mg3NiO4) + 0.45(Ca2Fe2O5) + 0.20(ZnO) + 0.05(Ni) + 0.03(NiO),0.079763,0.086365,-0.1911
MgCaFeCuZn,-6.242139,-2.024673,0.146149,0.45(Ca2Fe2O5) + 0.20(ZnO) + 0.20(MgO) + 0.15(Cu2O),0.074535,0.193036,-0.7896
MgCaCoNiCu,-6.370803,-1.837469,0.133617,0.27(Mg3NiO4) + 0.27(CaCu3O4) + 0.20(CoO) + 0.13(CaO) + 0.13(NiO),0.08993,0.151077,0.4363
MgCaCoNiZn,-6.254684,-2.005296,0.128179,0.27(Mg3NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.20(CaO) + 0.13(NiO),0.092109,0.085038,1.0348
MgCaCoCuZn,-6.036078,-1.954783,0.127948,0.27(CaCu3O4) + 0.20(CoO) + 0.20(ZnO) + 0.20(MgO) + 0.13(CaO),0.094658,0.180278,0.4363
MgCaNiCuZn,-5.89023,-1.941753,0.130636,0.27(Mg3NiO4) + 0.27(CaCu3O4) + 0.20(ZnO) + 0.13(CaO) + 0.13(NiO),0.102684,0.160548,1.4432
MgMnFeCoNi,-7.382521,-1.696463,0.137072,0.27(Mg3NiO4) + 0.20(CoO) + 0.35(Mn(FeO2)2) + 0.12(Mn3O4) + 0.07(Ni),0.061629,0.036177,-0.1911
MgMnFeCoCu,-7.173484,-1.655519,0.162624,0.20(MnCuO2) + 0.35(Mn(FeO2)2) + 0.20(CoO) + 0.20(MgO) + 0.05(Cu),0.054609,0.113848,-0.7896
MgMnFeCoZn,-7.043499,-1.809481,0.128381,0.10(MnO) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.20(MgO) + 0.05(Co) + 0.10(CoO),0.070653,0.035296,-0.0585
MgMnFeNiCu,-7.038704,-1.653558,0.154244,0.27(Mg3NiO4) + 0.20(MnCuO2) + 0.35(Mn(FeO2)2) + 0.05(Cu) + 0.13(NiO),0.051567,0.109822,-0.7896
MgMnFeNiZn,-6.909994,-1.808794,0.126045,0.27(Mg3NiO4) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.12(Mn3O4) + 0.07(Ni),0.066337,0.039014,-0.1911
MgMnFeCuZn,-6.693254,-1.760146,0.159301,0.35(Mn(FeO2)2) + 0.20(MnCuO2) + 0.20(ZnO) + 0.20(MgO) + 0.05(Cu),0.06702,0.121252,-0.7896
MgMnCoNiCu,-6.844773,-1.595797,0.134185,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(CoO) + 0.13(NiO),0.05956,0.099709,-0.6399
MgMnCoNiZn,-6.719349,-1.75432,0.115175,0.27(Mg3NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.23(Mn3O4) + 0.03(Ni) + 0.07(NiO),0.071043,0.035671,-0.0414
MgMnCoCuZn,-6.499017,-1.702081,0.139547,0.40(MnCuO2) + 0.20(CoO) + 0.20(ZnO) + 0.20(MgO),0.075318,0.11415,-0.6399
MgMnNiCuZn,-6.363947,-1.699828,0.131458,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(ZnO) + 0.13(NiO),0.072568,0.104063,-0.6399
MgFeCoNiCu,-6.670339,-1.490562,0.155261,0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.15(Cu2O) + 0.20(CoO) + 0.03(NiO),0.06652,0.094003,-0.7896
MgFeCoNiZn,-6.545707,-1.649876,0.133586,0.20(Mg3NiO4) + 0.20(CoO) + 0.17(Mg(FeO2)2) + 0.17(Fe2NiO4) + 0.20(ZnO) + 0.05(Ni),0.077212,0.025161,-0.1911
MgFeCoCuZn,-6.329695,-1.601958,0.152855,0.20(CoO) + 0.35(Mg(FeO2)2) + 0.20(ZnO) + 0.15(Cu2O) + 0.10(MgO),0.077167,0.104422,-0.7896
MgFeNiCuZn,-6.19454,-1.59962,0.147507,0.15(Cu2O) + 0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.20(ZnO) + 0.03(NiO),0.074501,0.095531,-0.7896
MgCoNiCuZn,-5.992476,-1.533727,0.128307,0.27(Mg3NiO4) + 0.13(Cu2O) + 0.29(Zn5Co19O32) + 0.03(CuO) + 0.15(ZnO) + 0.13(NiO),0.090626,0.087448,0.4363
CaMnFeCoNi,-7.479884,-1.753295,0.133583,0.27(Ca2Fe2O5) + 0.28(CaMn2O4) + 0.20(CoO) + 0.14(Mn(FeO2)2) + 0.09(Ni) + 0.02(NiO),0.065204,0.079212,-0.1911
CaMnFeCoCu,-7.281964,-1.723467,0.158475,0.26(Ca2Fe2O5) + 0.10(Mn(FeO2)2) + 0.06(FeCuO2) + 0.30(CaMn2O4) + 0.20(CoO) + 0.09(Cu),0.047067,0.181695,-0.7896
CaMnFeCoZn,-7.141418,-1.866868,0.12264,0.14(Mn(FeO2)2) + 0.27(Ca2Fe2O5) + 0.28(CaMn2O4) + 0.20(ZnO) + 0.09(Co) + 0.02(CoO),0.073673,0.082563,-0.0585
CaMnFeNiCu,-7.139863,-1.714185,0.156368,0.22(Ca2Fe2O5) + 0.18(Fe2NiO4) + 0.35(CaMn2O4) + 0.10(Cu) + 0.15(NiO),0.051346,0.173179,-0.7896
CaMnFeNiZn,-7.002291,-1.860559,0.127623,0.27(Ca2Fe2O5) + 0.28(CaMn2O4) + 0.14(Mn(FeO2)2) + 0.20(ZnO) + 0.09(Ni) + 0.02(NiO),0.074978,0.085594,-0.1911
CaMnFeCuZn,-6.798945,-1.825306,0.158117,0.22(Ca2Fe2O5) + 0.18(Zn(FeO2)2) + 0.35(CaMn2O4) + 0.15(ZnO) + 0.10(Cu),0.062267,0.214591,-0.7896
CaMnCoNiCu,-6.944935,-1.655427,0.131213,0.11(CaCu3O4) + 0.16(Ca3MnCoO6) + 0.30(CaMn2O4) + 0.17(CoO) + 0.06(Cu) + 0.20(NiO),0.060336,0.171469,-0.6399
CaMnCoNiZn,-6.80967,-1.804108,0.120124,0.35(CaMn2O4) + 0.20(CoO) + 0.20(ZnO) + 0.10(CaO) + 0.05(Ni) + 0.10(NiO),0.081661,0.085113,-0.0414
CaMnCoCuZn,-6.60266,-1.765191,0.136012,0.11(CaCu3O4) + 0.30(CaMn2O4) + 0.17(CoO) + 0.16(Ca3MnCoO6) + 0.20(ZnO) + 0.06(Cu),0.072614,0.212073,-0.6399
CaMnNiCuZn,-6.459908,-1.755258,0.131802,0.13(CaCu3O4) + 0.35(CaMn2O4) + 0.20(ZnO) + 0.07(CaO) + 0.05(Cu) + 0.20(NiO),0.077544,0.19428,-0.6399
CaFeCoNiCu,-6.768919,-1.548611,0.153844,0.45(Ca2Fe2O5) + 0.15(Cu2O) + 0.20(CoO) + 0.20(NiO),0.068878,0.16759,-0.7896
CaFeCoNiZn,-6.632946,-1.696584,0.145566,0.45(Ca2Fe2O5) + 0.20(CoO) + 0.20(ZnO) + 0.05(Ni) + 0.10(NiO),0.090911,0.089494,-0.1911
CaFeCoCuZn,-6.43094,-1.662671,0.154347,0.45(Ca2Fe2O5) + 0.20(CoO) + 0.20(ZnO) + 0.15(Cu2O),0.07686,0.204989,-0.7896
CaFeNiCuZn,-6.287175,-1.651723,0.152035,0.15(Cu2O) + 0.45(Ca2Fe2O5) + 0.20(ZnO) + 0.20(NiO),0.082804,0.188043,-0.7896
CaCoNiCuZn,-6.084081,-1.5848,0.130867,0.27(CaCu3O4) + 0.20(CoO) + 0.20(ZnO) + 0.13(CaO) + 0.20(NiO),0.09996,0.179137,0.4363
MnFeCoNiCu,-7.229911,-1.293961,0.157745,0.35(Fe2NiO4) + 0.35(Mn2CoO4) + 0.10(CoO) + 0.10(Cu) + 0.10(NiO),0.051487,0.113851,-0.7896
MnFeCoNiZn,-7.091146,-1.439142,0.138975,0.12(Mn3O4) + 0.35(Mn(FeO2)2) + 0.20(CoO) + 0.20(ZnO) + 0.07(Ni) + 0.07(NiO),0.076311,0.034645,-0.1911
MnFeCoCuZn,-6.879684,-1.395774,0.169869,0.35(Mn(FeO2)2) + 0.20(MnCuO2) + 0.20(CoO) + 0.20(ZnO) + 0.05(Cu),0.071715,0.126673,-0.7896
MnFeNiCuZn,-6.742976,-1.391883,0.1605,0.35(Mn(FeO2)2) + 0.20(MnCuO2) + 0.20(ZnO) + 0.05(Cu) + 0.20(NiO),0.070603,0.120594,-0.7896
MnCoNiCuZn,-6.551397,-1.336475,0.13809,0.40(MnCuO2) + 0.20(CoO) + 0.20(ZnO) + 0.20(NiO),0.076243,0.114064,-0.6399
FeCoNiCuZn,-6.376632,-1.230909,0.159495,0.15(Cu2O) + 0.35(Fe2NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.10(NiO),0.083534,0.104303,-0.7896
MgCaMnFeCoNi,-7.264825,-1.94698,0.135048,0.23(Ca2Fe2O5) + 0.07(Mg3NiO4) + 0.23(CaMn2O4) + 0.17(CoO) + 0.12(Mn(FeO2)2) + 0.12(MgO) + 0.07(Ni),0.069102,0.075638,-0.1911
MgCaMnFeCoCu,-7.096212,-1.918445,0.159193,0.19(Ca2Fe2O5) + 0.15(Mg(FeO2)2) + 0.29(CaMn2O4) + 0.17(CoO) + 0.12(MgO) + 0.08(Cu),0.057666,0.155165,-0.7896
MgCaMnFeCoZn,-6.985312,-2.044167,0.122657,0.23(Ca2Fe2O5) + 0.23(CaMn2O4) + 0.12(Mn(FeO2)2) + 0.17(ZnO) + 0.17(MgO) + 0.07(Co) + 0.02(CoO),0.073616,0.078207,-0.0585
MgCaMnFeNiCu,-6.980152,-1.913067,0.157059,0.22(Mg3NiO4) + 0.19(Ca2Fe2O5) + 0.15(Fe2NiO4) + 0.29(CaMn2O4) + 0.08(Cu) + 0.07(NiO),0.058875,0.148014,-0.7896
MgCaMnFeNiZn,-6.871605,-2.041142,0.125307,0.07(Mg3NiO4) + 0.12(Mn(FeO2)2) + 0.23(Ca2Fe2O5) + 0.23(CaMn2O4) + 0.17(ZnO) + 0.12(MgO) + 0.07(Ni),0.072472,0.077928,-0.1911
MgCaMnFeCuZn,-6.697422,-2.007036,0.155021,0.19(Ca2Fe2O5) + 0.15(Mg(FeO2)2) + 0.29(CaMn2O4) + 0.17(ZnO) + 0.12(MgO) + 0.08(Cu),0.066607,0.169861,-0.7896
MgCaMnCoNiCu,-6.815224,-1.861614,0.138585,0.22(Mg3NiO4) + 0.10(CaCu3O4) + 0.13(Ca3MnCoO6) + 0.25(CaMn2O4) + 0.14(CoO) + 0.05(Cu) + 0.11(NiO),0.068855,0.143195,-0.6399
