composition,total energy (eV/atom),formation energy (eV/atom),decomposition energy (eV/atom),decomposition reaction,AO mixing energy (eV/atom),stddev bonds (Angstroms),chempot overlap (eV)
MgMnFeCo,-7.611692,-1.845132,0.12947,0.44(Mn(FeO2)2) + 0.12(MnO) + 0.25(MgO) + 0.06(Co) + 0.12(CoO),0.057336,0.035894,-0.0585
MgMnFeNi,-7.443884,-1.843347,0.127477,0.33(Mg3NiO4) + 0.44(Mn(FeO2)2) + 0.15(Mn3O4) + 0.08(Ni),0.052867,0.04211,-0.1911
MgMnFeZn,-7.013901,-1.978413,0.098067,0.29(Mn(FeO2)2) + 0.17(MnO) + 0.25(ZnO) + 0.25(MgO) + 0.04(Fe),0.070353,0.041647,0.3357
MgMnCoNi,-7.204468,-1.774144,0.114999,0.33(Mg3NiO4) + 0.25(CoO) + 0.29(Mn3O4) + 0.04(Ni) + 0.08(NiO),0.05986,0.036274,-0.0414
MgMnCoZn,-6.780259,-1.914984,0.111992,0.25(MnO) + 0.25(ZnO) + 0.25(MgO) + 0.25(CoO),0.071572,0.036672,0.0912
MgMnNiZn,-6.618239,-1.918986,0.096787,0.33(Mg3NiO4) + 0.25(ZnO) + 0.29(Mn3O4) + 0.04(Ni) + 0.08(NiO),0.061316,0.039261,-0.0414
MgFeCoNi,-6.984331,-1.640506,0.141096,0.25(Mg3NiO4) + 0.22(Mg(FeO2)2) + 0.22(Fe2NiO4) + 0.25(CoO) + 0.06(Ni),0.070655,0.025557,-0.1911
MgFeCoZn,-6.56722,-1.788444,0.12368,0.44(Mg(FeO2)2) + 0.25(ZnO) + 0.12(MgO) + 0.06(Co) + 0.12(CoO),0.075269,0.024311,-0.0585
MgFeNiZn,-6.402639,-1.789885,0.118346,0.25(Mg3NiO4) + 0.22(Mg(FeO2)2) + 0.22(Fe2NiO4) + 0.25(ZnO) + 0.06(Ni),0.067573,0.026674,-0.1911
MgCoNiCu,-6.302989,-1.505516,0.122798,0.33(Mg3NiO4) + 0.25(CoO) + 0.25(CuO) + 0.17(NiO),0.077226,0.098879,0.4363
MgCoNiZn,-6.159111,-1.716571,0.123768,0.33(Mg3NiO4) + 0.25(CoO) + 0.25(ZnO) + 0.17(NiO),0.078678,0.020309,1.0348
MnFeCoNi,-7.676823,-1.387781,0.137141,0.15(Mn3O4) + 0.44(Mn(FeO2)2) + 0.25(CoO) + 0.08(Ni) + 0.08(NiO),0.058836,0.035668,-0.1911
MnFeCoZn,-7.245649,-1.521656,0.13732,0.44(Mn(FeO2)2) + 0.25(ZnO) + 0.12(MnO) + 0.06(Co) + 0.12(CoO),0.077512,0.029779,-0.0585
MnFeNiZn,-7.075201,-1.517231,0.13432,0.44(Mn(FeO2)2) + 0.15(Mn3O4) + 0.25(ZnO) + 0.08(Ni) + 0.08(NiO),0.075683,0.03896,-0.1911
MnCoNiZn,-6.839278,-1.451521,0.118349,0.29(Mn3O4) + 0.25(CoO) + 0.25(ZnO) + 0.04(Ni) + 0.17(NiO),0.079183,0.036144,-0.0414
FeCoNiZn,-6.619481,-1.318223,0.146678,0.25(CoO) + 0.44(Fe2NiO4) + 0.25(ZnO) + 0.06(Ni),0.089639,0.024758,-0.1911
MgMnFeCoNi,-7.382521,-1.696463,0.137072,0.27(Mg3NiO4) + 0.20(CoO) + 0.35(Mn(FeO2)2) + 0.12(Mn3O4) + 0.07(Ni),0.061629,0.036177,-0.1911
MgMnFeCoZn,-7.043499,-1.809481,0.128381,0.10(MnO) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.20(MgO) + 0.05(Co) + 0.10(CoO),0.070653,0.035296,-0.0585
MgMnFeNiZn,-6.909994,-1.808794,0.126045,0.27(Mg3NiO4) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.12(Mn3O4) + 0.07(Ni),0.066337,0.039014,-0.1911
MgMnCoNiCu,-6.844773,-1.595797,0.134185,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(CoO) + 0.13(NiO),0.05956,0.099709,-0.6399
MgMnCoNiZn,-6.719349,-1.75432,0.115175,0.27(Mg3NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.23(Mn3O4) + 0.03(Ni) + 0.07(NiO),0.071043,0.035671,-0.0414
MgMnNiCuZn,-6.363947,-1.699828,0.131458,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(ZnO) + 0.13(NiO),0.072568,0.104063,-0.6399
MgFeCoNiCu,-6.670339,-1.490562,0.155261,0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.15(Cu2O) + 0.20(CoO) + 0.03(NiO),0.06652,0.094003,-0.7896
MgFeCoNiZn,-6.545707,-1.649876,0.133586,0.20(Mg3NiO4) + 0.20(CoO) + 0.17(Mg(FeO2)2) + 0.17(Fe2NiO4) + 0.20(ZnO) + 0.05(Ni),0.077212,0.025161,-0.1911
MgFeNiCuZn,-6.19454,-1.59962,0.147507,0.15(Cu2O) + 0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.20(ZnO) + 0.03(NiO),0.074501,0.095531,-0.7896
MgCoNiCuZn,-5.992476,-1.533727,0.128307,0.27(Mg3NiO4) + 0.13(Cu2O) + 0.29(Zn5Co19O32) + 0.03(CuO) + 0.15(ZnO) + 0.13(NiO),0.090626,0.087448,0.4363
MnFeCoNiZn,-7.091146,-1.439142,0.138975,0.12(Mn3O4) + 0.35(Mn(FeO2)2) + 0.20(CoO) + 0.20(ZnO) + 0.07(Ni) + 0.07(NiO),0.076311,0.034645,-0.1911
FeCoNiCuZn,-6.376632,-1.230909,0.159495,0.15(Cu2O) + 0.35(Fe2NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.10(NiO),0.083534,0.104303,-0.7896
MgMnFeCoNiCu,-7.056447,-1.564135,0.156952,0.22(Mg3NiO4) + 0.29(Fe2NiO4) + 0.29(Mn2CoO4) + 0.08(CoO) + 0.08(Cu) + 0.03(NiO),0.057737,0.094142,-0.7896
MgMnFeCoNiZn,-6.948024,-1.692334,0.134096,0.22(Mg3NiO4) + 0.17(CoO) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.10(Mn3O4) + 0.06(Ni),0.07121,0.035527,-0.1911
MgMnFeCoCuZn,-6.769802,-1.65419,0.159413,0.17(MnCuO2) + 0.17(CoO) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.17(MgO) + 0.04(Cu),0.069384,0.103638,-0.7896
MgMnFeNiCuZn,-6.657536,-1.652605,0.15238,0.22(Mg3NiO4) + 0.17(MnCuO2) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.04(Cu) + 0.11(NiO),0.066799,0.098126,-0.7896
MgMnCoNiCuZn,-6.495203,-1.603748,0.136388,0.22(Mg3NiO4) + 0.33(MnCuO2) + 0.17(CoO) + 0.17(ZnO) + 0.11(NiO),0.074183,0.091067,-0.6399
MgFeCoNiCuZn,-6.351947,-1.518158,0.151845,0.22(Mg3NiO4) + 0.12(Cu2O) + 0.29(Fe2NiO4) + 0.17(CoO) + 0.17(ZnO) + 0.03(NiO),0.077878,0.083074,-0.7896
