composition,total energy (eV/atom),formation energy (eV/atom),decomposition energy (eV/atom),decomposition reaction,AO mixing energy (eV/atom),stddev bonds (Angstroms),chempot overlap (eV)
MgCaMnFe,-7.49278,-2.36406,0.0912,0.29(Mn(FeO2)2) + 0.17(MnO) + 0.25(MgO) + 0.25(CaO) + 0.04(Fe),0.063512,0.077365,0.3357
MgCaMnCo,-7.255661,-2.297154,0.110954,0.44(CaMn2O4) + 0.25(MgO) + 0.12(CaO) + 0.06(Co) + 0.12(CoO),0.068209,0.081522,0.0912
MgCaMnNi,-7.086905,-2.29442,0.109048,0.33(Mg3NiO4) + 0.44(CaMn2O4) + 0.12(CaO) + 0.06(Ni) + 0.04(NiO),0.064689,0.081212,-0.0414
MgCaMnZn,-6.663042,-2.435606,0.096779,0.25(MnO) + 0.25(MgO) + 0.25(CaO) + 0.25(ZnO),0.076054,0.093686,1.1042
MgCaFeCo,-7.038693,-2.166685,0.138821,0.56(Ca2Fe2O5) + 0.25(MgO) + 0.06(Co) + 0.12(CoO),0.075835,0.089007,-0.0585
MgCaFeNi,-6.865265,-2.15928,0.141586,0.56(Ca2Fe2O5) + 0.33(Mg3NiO4) + 0.06(Ni) + 0.04(NiO),0.076986,0.08912,-0.1911
MgCaFeZn,-6.447968,-2.307032,0.100929,0.25(ZnO) + 0.25(MgO) + 0.25(CaO) + 0.25(FeO),0.081786,0.103325,0.3357
MgCaCoZn,-6.209001,-2.238278,0.120398,0.25(ZnO) + 0.25(MgO) + 0.25(CaO) + 0.25(CoO),0.08833,0.098791,1.1674
MgCaNiZn,-6.038114,-2.233413,0.112336,0.33(Mg3NiO4) + 0.25(ZnO) + 0.25(CaO) + 0.17(NiO),0.086941,0.094905,2.4175
MgMnFeCo,-7.611692,-1.845132,0.12947,0.44(Mn(FeO2)2) + 0.12(MnO) + 0.25(MgO) + 0.06(Co) + 0.12(CoO),0.057336,0.035894,-0.0585
MgMnFeNi,-7.443884,-1.843347,0.127477,0.33(Mg3NiO4) + 0.44(Mn(FeO2)2) + 0.15(Mn3O4) + 0.08(Ni),0.052867,0.04211,-0.1911
MgMnFeZn,-7.013901,-1.978413,0.098067,0.29(Mn(FeO2)2) + 0.17(MnO) + 0.25(ZnO) + 0.25(MgO) + 0.04(Fe),0.070353,0.041647,0.3357
MgMnCoNi,-7.204468,-1.774144,0.114999,0.33(Mg3NiO4) + 0.25(CoO) + 0.29(Mn3O4) + 0.04(Ni) + 0.08(NiO),0.05986,0.036274,-0.0414
MgMnCoZn,-6.780259,-1.914984,0.111992,0.25(MnO) + 0.25(ZnO) + 0.25(MgO) + 0.25(CoO),0.071572,0.036672,0.0912
MgMnNiZn,-6.618239,-1.918986,0.096787,0.33(Mg3NiO4) + 0.25(ZnO) + 0.29(Mn3O4) + 0.04(Ni) + 0.08(NiO),0.061316,0.039261,-0.0414
MgFeCoNi,-6.984331,-1.640506,0.141096,0.25(Mg3NiO4) + 0.22(Mg(FeO2)2) + 0.22(Fe2NiO4) + 0.25(CoO) + 0.06(Ni),0.070655,0.025557,-0.1911
MgFeCoZn,-6.56722,-1.788444,0.12368,0.44(Mg(FeO2)2) + 0.25(ZnO) + 0.12(MgO) + 0.06(Co) + 0.12(CoO),0.075269,0.024311,-0.0585
MgFeNiZn,-6.402639,-1.789885,0.118346,0.25(Mg3NiO4) + 0.22(Mg(FeO2)2) + 0.22(Fe2NiO4) + 0.25(ZnO) + 0.06(Ni),0.067573,0.026674,-0.1911
MgCoNiCu,-6.302989,-1.505516,0.122798,0.33(Mg3NiO4) + 0.25(CoO) + 0.25(CuO) + 0.17(NiO),0.077226,0.098879,0.4363
MgCoNiZn,-6.159111,-1.716571,0.123768,0.33(Mg3NiO4) + 0.25(CoO) + 0.25(ZnO) + 0.17(NiO),0.078678,0.020309,1.0348
CaMnFeCo,-7.739266,-1.922041,0.117119,0.34(Ca2Fe2O5) + 0.18(Mn(FeO2)2) + 0.35(CaMn2O4) + 0.11(Co) + 0.02(CoO),0.055934,0.078929,-0.0585
CaMnFeNi,-7.562676,-1.911474,0.126029,0.34(Ca2Fe2O5) + 0.35(CaMn2O4) + 0.18(Mn(FeO2)2) + 0.11(Ni) + 0.02(NiO),0.060248,0.081875,-0.1911
CaMnFeZn,-7.137093,-2.05094,0.088693,0.29(Mn(FeO2)2) + 0.17(MnO) + 0.25(ZnO) + 0.25(CaO) + 0.04(Fe),0.073333,0.096807,0.3357
CaMnCoNi,-7.32155,-1.840561,0.117004,0.44(CaMn2O4) + 0.25(CoO) + 0.12(CaO) + 0.06(Ni) + 0.12(NiO),0.068951,0.084473,-0.0414
CaMnCoZn,-6.89926,-1.98332,0.109161,0.44(CaMn2O4) + 0.25(ZnO) + 0.12(CaO) + 0.06(Co) + 0.12(CoO),0.078743,0.096044,0.0912
CaMnNiZn,-6.727747,-1.977829,0.106365,0.44(CaMn2O4) + 0.25(ZnO) + 0.12(CaO) + 0.06(Ni) + 0.12(NiO),0.07798,0.094157,-0.0414
CaFeCoNi,-7.097916,-1.703426,0.151537,0.56(Ca2Fe2O5) + 0.25(CoO) + 0.06(Ni) + 0.12(NiO),0.083243,0.091962,-0.1911
CaFeCoZn,-6.68166,-1.852219,0.13766,0.56(Ca2Fe2O5) + 0.25(ZnO) + 0.06(Co) + 0.12(CoO),0.087001,0.101698,-0.0585
CaFeNiZn,-6.506283,-1.842865,0.138727,0.56(Ca2Fe2O5) + 0.25(ZnO) + 0.06(Ni) + 0.12(NiO),0.090101,0.104194,-0.1911
MnFeCoNi,-7.676823,-1.387781,0.137141,0.15(Mn3O4) + 0.44(Mn(FeO2)2) + 0.25(CoO) + 0.08(Ni) + 0.08(NiO),0.058836,0.035668,-0.1911
MnFeCoZn,-7.245649,-1.521656,0.13732,0.44(Mn(FeO2)2) + 0.25(ZnO) + 0.12(MnO) + 0.06(Co) + 0.12(CoO),0.077512,0.029779,-0.0585
MnFeNiZn,-7.075201,-1.517231,0.13432,0.44(Mn(FeO2)2) + 0.15(Mn3O4) + 0.25(ZnO) + 0.08(Ni) + 0.08(NiO),0.075683,0.03896,-0.1911
MnCoNiZn,-6.839278,-1.451521,0.118349,0.29(Mn3O4) + 0.25(CoO) + 0.25(ZnO) + 0.04(Ni) + 0.17(NiO),0.079183,0.036144,-0.0414
FeCoNiZn,-6.619481,-1.318223,0.146678,0.25(CoO) + 0.44(Fe2NiO4) + 0.25(ZnO) + 0.06(Ni),0.089639,0.024758,-0.1911
MgCaMnFeCo,-7.427264,-2.11866,0.123348,0.27(Ca2Fe2O5) + 0.14(Mn(FeO2)2) + 0.28(CaMn2O4) + 0.20(MgO) + 0.09(Co) + 0.02(CoO),0.064519,0.077053,-0.0585
MgCaMnFeNi,-7.289176,-2.11339,0.128168,0.27(Ca2Fe2O5) + 0.08(Mg3NiO4) + 0.28(CaMn2O4) + 0.14(Mn(FeO2)2) + 0.14(MgO) + 0.09(Ni),0.064786,0.078295,-0.1911
MgCaMnFeZn,-6.949525,-2.225778,0.096609,0.23(Mn(FeO2)2) + 0.13(MnO) + 0.20(ZnO) + 0.20(MgO) + 0.20(CaO) + 0.03(Fe),0.07444,0.083404,0.3357
MgCaMnCoNi,-7.0955,-2.055885,0.123765,0.27(Mg3NiO4) + 0.35(CaMn2O4) + 0.20(CoO) + 0.10(CaO) + 0.05(Ni) + 0.03(NiO),0.072524,0.079192,-0.0414
MgCaMnCoZn,-6.761069,-2.173493,0.111173,0.35(CaMn2O4) + 0.20(ZnO) + 0.20(MgO) + 0.10(CaO) + 0.05(Co) + 0.10(CoO),0.076957,0.084258,0.0912
MgCaMnNiZn,-6.627296,-2.172538,0.108416,0.27(Mg3NiO4) + 0.35(CaMn2O4) + 0.20(ZnO) + 0.10(CaO) + 0.05(Ni) + 0.03(NiO),0.072909,0.082646,-0.0414
MgCaFeCoNi,-6.91898,-1.948564,0.149004,0.27(Mg3NiO4) + 0.45(Ca2Fe2O5) + 0.20(CoO) + 0.05(Ni) + 0.03(NiO),0.08157,0.083329,-0.1911
MgCaFeCoZn,-6.589177,-2.0708,0.131784,0.45(Ca2Fe2O5) + 0.20(ZnO) + 0.20(MgO) + 0.05(Co) + 0.10(CoO),0.081375,0.088263,-0.0585
MgCaFeNiZn,-6.452968,-2.067409,0.131463,0.27(Mg3NiO4) + 0.45(Ca2Fe2O5) + 0.20(ZnO) + 0.05(Ni) + 0.03(NiO),0.079763,0.086365,-0.1911
MgCaCoNiZn,-6.254684,-2.005296,0.128179,0.27(Mg3NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.20(CaO) + 0.13(NiO),0.092109,0.085038,1.0348
MgMnFeCoNi,-7.382521,-1.696463,0.137072,0.27(Mg3NiO4) + 0.20(CoO) + 0.35(Mn(FeO2)2) + 0.12(Mn3O4) + 0.07(Ni),0.061629,0.036177,-0.1911
MgMnFeCoZn,-7.043499,-1.809481,0.128381,0.10(MnO) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.20(MgO) + 0.05(Co) + 0.10(CoO),0.070653,0.035296,-0.0585
MgMnFeNiZn,-6.909994,-1.808794,0.126045,0.27(Mg3NiO4) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.12(Mn3O4) + 0.07(Ni),0.066337,0.039014,-0.1911
MgMnCoNiCu,-6.844773,-1.595797,0.134185,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(CoO) + 0.13(NiO),0.05956,0.099709,-0.6399
MgMnCoNiZn,-6.719349,-1.75432,0.115175,0.27(Mg3NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.23(Mn3O4) + 0.03(Ni) + 0.07(NiO),0.071043,0.035671,-0.0414
MgMnNiCuZn,-6.363947,-1.699828,0.131458,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(ZnO) + 0.13(NiO),0.072568,0.104063,-0.6399
MgFeCoNiCu,-6.670339,-1.490562,0.155261,0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.15(Cu2O) + 0.20(CoO) + 0.03(NiO),0.06652,0.094003,-0.7896
MgFeCoNiZn,-6.545707,-1.649876,0.133586,0.20(Mg3NiO4) + 0.20(CoO) + 0.17(Mg(FeO2)2) + 0.17(Fe2NiO4) + 0.20(ZnO) + 0.05(Ni),0.077212,0.025161,-0.1911
MgFeNiCuZn,-6.19454,-1.59962,0.147507,0.15(Cu2O) + 0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.20(ZnO) + 0.03(NiO),0.074501,0.095531,-0.7896
MgCoNiCuZn,-5.992476,-1.533727,0.128307,0.27(Mg3NiO4) + 0.13(Cu2O) + 0.29(Zn5Co19O32) + 0.03(CuO) + 0.15(ZnO) + 0.13(NiO),0.090626,0.087448,0.4363
CaMnFeCoNi,-7.479884,-1.753295,0.133583,0.27(Ca2Fe2O5) + 0.28(CaMn2O4) + 0.20(CoO) + 0.14(Mn(FeO2)2) + 0.09(Ni) + 0.02(NiO),0.065204,0.079212,-0.1911
CaMnFeCoZn,-7.141418,-1.866868,0.12264,0.14(Mn(FeO2)2) + 0.27(Ca2Fe2O5) + 0.28(CaMn2O4) + 0.20(ZnO) + 0.09(Co) + 0.02(CoO),0.073673,0.082563,-0.0585
CaMnFeNiZn,-7.002291,-1.860559,0.127623,0.27(Ca2Fe2O5) + 0.28(CaMn2O4) + 0.14(Mn(FeO2)2) + 0.20(ZnO) + 0.09(Ni) + 0.02(NiO),0.074978,0.085594,-0.1911
CaMnCoNiZn,-6.80967,-1.804108,0.120124,0.35(CaMn2O4) + 0.20(CoO) + 0.20(ZnO) + 0.10(CaO) + 0.05(Ni) + 0.10(NiO),0.081661,0.085113,-0.0414
CaFeCoNiZn,-6.632946,-1.696584,0.145566,0.45(Ca2Fe2O5) + 0.20(CoO) + 0.20(ZnO) + 0.05(Ni) + 0.10(NiO),0.090911,0.089494,-0.1911
MnFeCoNiZn,-7.091146,-1.439142,0.138975,0.12(Mn3O4) + 0.35(Mn(FeO2)2) + 0.20(CoO) + 0.20(ZnO) + 0.07(Ni) + 0.07(NiO),0.076311,0.034645,-0.1911
FeCoNiCuZn,-6.376632,-1.230909,0.159495,0.15(Cu2O) + 0.35(Fe2NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.10(NiO),0.083534,0.104303,-0.7896
MgCaMnFeCoNi,-7.264825,-1.94698,0.135048,0.23(Ca2Fe2O5) + 0.07(Mg3NiO4) + 0.23(CaMn2O4) + 0.17(CoO) + 0.12(Mn(FeO2)2) + 0.12(MgO) + 0.07(Ni),0.069102,0.075638,-0.1911
MgCaMnFeCoZn,-6.985312,-2.044167,0.122657,0.23(Ca2Fe2O5) + 0.23(CaMn2O4) + 0.12(Mn(FeO2)2) + 0.17(ZnO) + 0.17(MgO) + 0.07(Co) + 0.02(CoO),0.073616,0.078207,-0.0585
MgCaMnFeNiZn,-6.871605,-2.041142,0.125307,0.07(Mg3NiO4) + 0.12(Mn(FeO2)2) + 0.23(Ca2Fe2O5) + 0.23(CaMn2O4) + 0.17(ZnO) + 0.12(MgO) + 0.07(Ni),0.072472,0.077928,-0.1911
MgCaMnCoNiZn,-6.711095,-1.994107,0.120752,0.22(Mg3NiO4) + 0.29(CaMn2O4) + 0.17(CoO) + 0.17(ZnO) + 0.08(CaO) + 0.04(Ni) + 0.03(NiO),0.078034,0.078788,-0.0414
MgCaFeCoNiZn,-6.565565,-1.906243,0.140214,0.22(Mg3NiO4) + 0.38(Ca2Fe2O5) + 0.17(CoO) + 0.17(ZnO) + 0.04(Ni) + 0.03(NiO),0.084002,0.080494,-0.1911
MgMnFeCoNiCu,-7.056447,-1.564135,0.156952,0.22(Mg3NiO4) + 0.29(Fe2NiO4) + 0.29(Mn2CoO4) + 0.08(CoO) + 0.08(Cu) + 0.03(NiO),0.057737,0.094142,-0.7896
MgMnFeCoNiZn,-6.948024,-1.692334,0.134096,0.22(Mg3NiO4) + 0.17(CoO) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.10(Mn3O4) + 0.06(Ni),0.07121,0.035527,-0.1911
MgMnFeCoCuZn,-6.769802,-1.65419,0.159413,0.17(MnCuO2) + 0.17(CoO) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.17(MgO) + 0.04(Cu),0.069384,0.103638,-0.7896
MgMnFeNiCuZn,-6.657536,-1.652605,0.15238,0.22(Mg3NiO4) + 0.17(MnCuO2) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.04(Cu) + 0.11(NiO),0.066799,0.098126,-0.7896
MgMnCoNiCuZn,-6.495203,-1.603748,0.136388,0.22(Mg3NiO4) + 0.33(MnCuO2) + 0.17(CoO) + 0.17(ZnO) + 0.11(NiO),0.074183,0.091067,-0.6399
MgFeCoNiCuZn,-6.351947,-1.518158,0.151845,0.22(Mg3NiO4) + 0.12(Cu2O) + 0.29(Fe2NiO4) + 0.17(CoO) + 0.17(ZnO) + 0.03(NiO),0.077878,0.083074,-0.7896
CaMnFeCoNiZn,-7.026376,-1.73691,0.133972,0.23(Ca2Fe2O5) + 0.23(CaMn2O4) + 0.17(CoO) + 0.12(Mn(FeO2)2) + 0.17(ZnO) + 0.07(Ni) + 0.02(NiO),0.076973,0.079163,-0.1911
