composition,total energy (eV/atom),formation energy (eV/atom),decomposition energy (eV/atom),decomposition reaction,AO mixing energy (eV/atom),stddev bonds (Angstroms),chempot overlap (eV)
MgMnFeCoNi,-7.382521,-1.696463,0.137072,0.27(Mg3NiO4) + 0.20(CoO) + 0.35(Mn(FeO2)2) + 0.12(Mn3O4) + 0.07(Ni),0.061629,0.036177,-0.1911
MgMnFeCoCu,-7.173484,-1.655519,0.162624,0.20(MnCuO2) + 0.35(Mn(FeO2)2) + 0.20(CoO) + 0.20(MgO) + 0.05(Cu),0.054609,0.113848,-0.7896
MgMnFeCoZn,-7.043499,-1.809481,0.128381,0.10(MnO) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.20(MgO) + 0.05(Co) + 0.10(CoO),0.070653,0.035296,-0.0585
MgMnFeNiCu,-7.038704,-1.653558,0.154244,0.27(Mg3NiO4) + 0.20(MnCuO2) + 0.35(Mn(FeO2)2) + 0.05(Cu) + 0.13(NiO),0.051567,0.109822,-0.7896
MgMnFeNiZn,-6.909994,-1.808794,0.126045,0.27(Mg3NiO4) + 0.35(Mn(FeO2)2) + 0.20(ZnO) + 0.12(Mn3O4) + 0.07(Ni),0.066337,0.039014,-0.1911
MgMnFeCuZn,-6.693254,-1.760146,0.159301,0.35(Mn(FeO2)2) + 0.20(MnCuO2) + 0.20(ZnO) + 0.20(MgO) + 0.05(Cu),0.06702,0.121252,-0.7896
MgMnCoNiCu,-6.844773,-1.595797,0.134185,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(CoO) + 0.13(NiO),0.05956,0.099709,-0.6399
MgMnCoNiZn,-6.719349,-1.75432,0.115175,0.27(Mg3NiO4) + 0.20(CoO) + 0.20(ZnO) + 0.23(Mn3O4) + 0.03(Ni) + 0.07(NiO),0.071043,0.035671,-0.0414
MgMnCoCuZn,-6.499017,-1.702081,0.139547,0.40(MnCuO2) + 0.20(CoO) + 0.20(ZnO) + 0.20(MgO),0.075318,0.11415,-0.6399
MgMnNiCuZn,-6.363947,-1.699828,0.131458,0.27(Mg3NiO4) + 0.40(MnCuO2) + 0.20(ZnO) + 0.13(NiO),0.072568,0.104063,-0.6399
MgFeCoNiCu,-6.670339,-1.490562,0.155261,0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.15(Cu2O) + 0.20(CoO) + 0.03(NiO),0.06652,0.094003,-0.7896
MgFeCoNiZn,-6.545707,-1.649876,0.133586,0.20(Mg3NiO4) + 0.20(CoO) + 0.17(Mg(FeO2)2) + 0.17(Fe2NiO4) + 0.20(ZnO) + 0.05(Ni),0.077212,0.025161,-0.1911
MgFeCoCuZn,-6.329695,-1.601958,0.152855,0.20(CoO) + 0.35(Mg(FeO2)2) + 0.20(ZnO) + 0.15(Cu2O) + 0.10(MgO),0.077167,0.104422,-0.7896
MgFeNiCuZn,-6.19454,-1.59962,0.147507,0.15(Cu2O) + 0.27(Mg3NiO4) + 0.35(Fe2NiO4) + 0.20(ZnO) + 0.03(NiO),0.074501,0.095531,-0.7896
MgCoNiCuZn,-5.992476,-1.533727,0.128307,0.27(Mg3NiO4) + 0.13(Cu2O) + 0.29(Zn5Co19O32) + 0.03(CuO) + 0.15(ZnO) + 0.13(NiO),0.090626,0.087448,0.4363
MnFeCoNiCu,-7.229911,-1.293961,0.157745,0.35(Fe2NiO4) + 0.35(Mn2CoO4) + 0.10(CoO) + 0.10(Cu) + 0.10(NiO),0.051487,0.113851,-0.7896
MnFeCoNiZn,-7.091146,-1.439142,0.138975,0.12(Mn3O4) + 0.35(Mn(FeO2)2) + 0.20(CoO) + 0.20(ZnO) + 0.07(Ni) + 0.07(NiO),0.076311,0.034645,-0.1911
MnFeCoCuZn,-6.879684,-1.395774,0.169869,0.35(Mn(FeO2)2) + 0.20(MnCuO2) + 0.20(CoO) + 0.20(ZnO) + 0.05(Cu),0.071715,0.126673,-0.7896
